comment,labels
i ordered a pretzel with extra salt and a cinnamon pretzel for my mom .,1
service is usually quick and friendly .,1
", but the owner and management are great .",1
the staff is super friendly .,1
"the service , as mentioned several times in yelp , is really slow .",0
never go back there again .,0
even the staff is miserable anymore .,0
very disappointing and frustrating .,0
they do not take pride in their work .,0
our bartender alex was amazing !,1
- lamb kabobs - undercooked and falling apart .,0
great place to grab lunch before a panthers game !,1
we definitely look forward to coming back here again for a nice relaxing dinner .,1
their change machine was down for well over a week !,0
the service is good and timely .,1
this is my first time living so close to an amusement park actually .,1
"described as being served with butternut squash , brussel sprouts and cauliflower .",0
too many other fine restaurants in madison to give this one another try .,0
an amazing sub for a unbelievable price ... what more can you ask for ?,1
internet is very cheap and should be provided accordingly .,0
"when we sat down , i was immediately hit by a gross smell .",0
"first of all , the pie had almost no real flavor .",0
"the first night , we drank our weight and had a great time .",1
no thank you or thanks for you patience .,0
strawberry pies being the exception to the rule .,0
"it 's clean , bright , and sunny .",1
"great place , and the best fried pickles i 've ever had .",1
i would never go back to this place .,0
i am a gold member at hertz .,0
there was no noise control so sleep was impossible .,0
the fried chicken was pretty bland .,0
it 's disappointing for the north side of town .,0
this is a great place to take kids on a rainy day .,1
the entire restaurant could use a thorough cleaning .,0
this is supposed to be the best burgers in the 'burgh .,0
"best eastern , nc bbq in charlotte .",1
she perfectly understood what i wanted and did n't want !,1
great local mexican spot for cold beer and authentic food .,1
wine selection is good .,1
i had to wait _num_ min in the drive thru for a supreme combo .,0
"this particular deli meat however , was a few steps beyond .",0
i was actually quite impressed by this airport .,1
"quite uncomfortable , but the only seating available .",0
the owners are very friendly and welcoming .,1
the food is quite good .,1
did n't file straight or smooth .,0
so fun to have a place like this in the strip .,1
worse yet they keep very inconsistent hours when students are away .,0
i do n't care how good your food is .,0
it was a very enjoyable experience .,1
while having a slice i found out that it was not even cooked completely .,0
this restaurant came recommended by a friend and i was not disappointed !,1
staff never in a hurry .,0
this was great and a nice change of pace .,1
i got a huge hot pepper that burnt the crap out of my lip .,0
the price is very reasonable .,1
i have never been to a less taken care of establishment .,0
family oriented and great atmosphere .,1
this place is a total joke !,0
prices are reasonable and the guys are usually really friendly .,1
i would give it zero stars if thats an option !,0
"contrary to popular believe , this is not traditional italian !",0
i could n't even finish it .,0
the beds are really comfy .,1
cold cheese and cold pepperoni on my pizza ?,0
no business this inefficient should be around .,0
i was so hungry and so sad that i could n't get any ribs .,0
the creme brle is amazing !,1
"first off , the cornbread may be the very best i have ever had .",1
there probably wo n't be a wait !,0
"but for us , it was a complete and utter disaster .",0
fair well old friend .,1
they have a great selection of products considering their size .,1
i highly recommend this bakery to anyone !,1
worst customer service at this place .,0
i was not even acknowledged .,0
best to make a reservation as he 's pretty busy most of the time .,1
also great for sunday brunch .,1
"table of _num_ , we all ordered tasting menu with wine pairings .",0
i would n't call this place authentic korean bbq .,0
"i like the atmosphere , interior and the service has always been great .",1
worse check-in system yet encountered in my travels .,0
it 's the best chinese food that delivers in the area .,1
i dropped off _num_ shirts at this establishment just before thanksgiving .,0
all-around good spot to eat .,1
the sides were not good at all .,0
had the stuffed lobster and it was perfect .,1
it 's a shame he could not assist me with some grace and respect .,0
my husband and i just moved to charlotte and live about _num_ mins away .,0
"okay , i know what you 're thinking why not just leave ?",0
she could n't tell me how much longer we would wait .,0
"the place has seating inside and out side , both with plenty of seats .",1
i would give him a _num_ start rating .,0
dr. stout is an incredible dentist .,1
* the owner failed to mention the pita bread was extra .,0
price is very inexpensive .,1
is absolutely my favorite place in pittsburgh .,1
not falling for the trick .,0
"the prices are higher than online , however they will accept a reasonable offer .",1
soul food that make your heart smile .,1
we dine here at least twice a month and love it .,1
the champaign olive garden has declined significantly within the last year .,0
the mussels were outstanding and the staff was very professional !,1
the location is clean and the staff are friendly .,1
this is not a great first impression .,0
"the food , drinks and service were all amazing .",1
the hostess was very nice and our order was ready quickly .,1
they would n't even give us a couple minutes to settle our child down .,0
"it 's a convenience store , like walgreens or cvs .",0
the food was delicious and the service was very good .,1
right off the bat she said `` no . '',0
"fresh , homemade , and authentic cooking .",1
the best reason to visit pittsburgh .,1
we also had a masala and that too was not great .,0
we all got the fish fry plus some deep fried shrimp .,0
the staff was very friendly and accommodating .,1
the interior was updated and looks a little cleaner but it 's nothing special .,0
"i do n't like everything there , but i have found many favorites .",1
"excellent work , not the fastest but the end result was impeccable .",1
told them it has no spice and they brought hot sauce .,0
i 've also enjoyed any sandwich or salad i 've ever gotten here .,1
my husband had a margarita and my server suggested a berry mojito to me .,0
we had good service and great food .,1
a good family dollar this is not !,0
i also got the veggie sandwich and granola .,1
it 's a rare and wonderful find .,1
i sat at the bar and the bartender was fun to talk to .,1
"yes , my food was tasty ( _num_ on a scale of 1-10 ) .",0
olga was very professional and i really enjoyed her company .,1
i could go on for hours but it 's not worth it .,0
lincoln bakery is great .,1
great coffee and they are efficient .,1
the dining room always looks closed .,0
unfortunately i found this mcdonald 's in need of a good cleaning .,0
for $ _num_ i received three scallops on a bed of risotto .,0
worst chicken pad thai i 've ever had .,0
excellent service all the way around .,1
they also have a rooftop section !,1
we will definitely be back !,1
this place makes you feel unwelcome and dumb .,0
i 'm too scared to shop there after dark .,0
i ordered the eggplant chicken special .,0
"also , garbage was overflowing in the breakfast area .",0
it had shoe string onion rings and slaw on it .,0
the arrival of our food was the second disappointment of the night .,0
"hmmm , a nearby german restaurant sounds good ( and it was ) .",1
so what was the point in an app ?,0
what a great evening .,1
this is my favorite pizza ever .,1
the downside : the alterations were very expensive and very poorly done .,0
thank you for your reply to this _num_ months later .,0
when they come it 's so exciting .,1
"good roll , great toppings with a fantastic price .",1
it will definitely be worth your while .,1
"i wasted my money , and i will never , ever go back there .",0
the sausage was piled on top the meat sauce in ground pile .,0
i really appreciate the honesty !,1
the bartender was very nice and friendly .,1
"one , quite literally , threw a guy off of the bus for me .",0
it really is as good as it gets !,1
i was starving though .,0
probably at least _num_ years ago .,0
"location is great as well , right across the movie theater .",1
"the care i received there was outstanding , and recommend them highly .",1
stick to a boutique if you want real customer service .,0
"they got groceries though , lots of groceries !",1
"the sauce is light , which is extremely important to me .",1
the lamb pies are absolutely incredible .,1
the airport is pretty big but very easy to navigate around .,1
"check them out , its a good night out !",1
there was a smell as soon as i walked in the room .,0
